Term,Definition
,See Usability
Accessibility,Active Listening is a method used to listen and respond to others in a structured and deliberate way. It requires a listener to understand and actively evaluate what he or she heard.
Activity,A unit of work performed as part of an initiative or process
Activity Diagram,"An activity diagram is a UML diagram that is used to model a process. It models the actions (or behaviors) performed by the components of a business process or IT system, the order in which the actions take place, and the conditions that coordinate the actions in a specific order. Activity diagrams use swim lanes to group actions together. Actions can be grouped by the actor performing the action or by the distinct business process or system that is performing the action."
Actor,The human and nonhuman roles that interact with a system
Agile,"Agile is a general term and conceptual framework used to describe a number of “light-weight” methodologies, such as Extreme Programming (XP), SCRUM, Kanban, and Rapid Application Development (RAD), which exhibit a series of common characteristics. Some of these characteristics include iterative analysis and development, time-boxed iterations of a predefined length, delivery of the most critical features and functions first, delivery of a complete build with an initial set of limited features within a few months (often 1-2 months), small cross-functional teams usually of 6-9 team members, daily team communication meetings, and reduced levels of documentation."
Agile Mindset,"A set of attitudes supporting an agile working environment; respect, collaboration, improvement, and learning cycles."
Alternative Flow,An alternate flow describes a use case scenario other than the basic flow that results in a user completing his or her goal. It is often considered to be an optional flow and implies that the user has chosen to take an alternative path through the system.
Analysis,"To formulate a model of the problem that is independent of implementation considerations. In short, Analysis focuses on what to do, while design focuses on how to do it."
Analyst,"A generic name for a role with the responsibilities of developing and managing requirements. Other names include business analyst, business integrator, requirements analyst, requirements engineer, and systems analyst."
Architecture,"The structure of a system or IT service, including the relationship of components to each other and to the environment they are in."
Association,A link between two elements or objects in a diagram.
Assumption,Assumptions are influencing factors that are believed to be true but have not been confirmed to be accurate.
Attribute,A data element with a specified data type that describes information associated with a concept or entity.
Audit,"Formal inspection and verification to check whether a standard or set of guidelines are being followed, that records are accurate, or that efficiency and effectiveness targets are being met."
Availability,Ability of a configuration item or IT service to perform its function when required.
Backlog Grooming,"The review of the Product Backlog to ensure it contains the right items (user stories), the items have enough detail to be worked, and the items are prioritized."
Baseline,A point-in-time view of requirements that have been reviewed and agreed upon to serve as a basis for further development.
Benchmarking,"A comparison of a process or system’s cost, time, quality, or other metrics to those of leading peer organizations to identify opportunities for improvement."
Brainstorming,Brainstorming is a team activity that seeks to produce a broad or diverse set of options through the rapid and uncritical generation of ideas.
Burn -Up Chart,Used to track the progress of work completed versus the total work (project scope). The burn-up chart gives a quick view of the amount of work that is completed versus the total amount of work needing to be completed.
Burndown Chart,Used to track the progress of work completed. It compares the amount of work remaining (typically measured along the vertical axis) against time (measured along the horizontal axis). The burndown chart gives a quick view of the amount of work that is completed over time.
Business,An overall corporate entity or organization formed of a number of business units.
Business Analysis,"Business analysis is the set of tasks and techniques used to work as a liaison among stakeholders in order to understand the structure, policies and operations of an organization, and recommend solutions that enable the organization to achieve its goals."
Business Analysis Body of Knowledge (BABOK),"A document that describes and defines business analysis as a discipline, rather than define the responsibilities of a person with the job title of Business Analyst. These derived standards are the opinion of the International Institute for Business Analysis (IIBA)."
